restaurant,cuisine_type,location,price_level,rating,review_count
Healy Mac's Irish Bar & Restaurant,"Irish,Bar,European","3A-G9 & G10, Straits Quay Jalan Seri Tanjung Pinang, Tanjung Tokong, Penang Island Malaysia",2,4.5,1409
Knife and Fork Restaurant,"Asian,Vegetarian Friendly","1-2B Eden Parade Jalan Sungai Emas, Batu Ferringhi Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,240
Two Frenchies Cafe Bistrot,"French,European,Vegetarian Friendly","36 Lebuh Bishop, George Town, Penang Island 10200 Malaysia",2,5,439
Salsas Penang,"Bar,Vegetarian Friendly","86, Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,199
Cheang Kee,"Chinese,Seafood,Asian","433 Chulia Street, George Town, Penang Island 10200 Malaysia",1,5,362
Orinea by Farquhar Mansion,"Contemporary,Vegetarian Friendly,Vegan Options","68-18-1, Sunrise Gurney, Persiaran Gurney, George Town, Penang Island 10250 Malaysia",3,4.5,843
The Loft - Love Lane,"European,Neapolitan,Campania","57 Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,408
Laksalicious,"Asian,Nonya/Malaysian,Malaysian","Laksalicious 117A Hutton Lane Georgetown, Penang Island 10050 Malaysia",1,4.5,388
SUPE - Georgetown Branch,"Cafe,Sushi,Asian","No 12 Gat Lebuh Acheh, George Town, Penang Island 10300 Malaysia",2,4.5,251
Junk Cafe,"Bar,Cafe,Gastropub","No 1 Jalan Pintal Tali, George Town, Penang Island 10100 Malaysia",2,4.5,388
Kebaya Dining Room,"Chinese,Asian,Fusion","2-16 Lorong Stewart, George Town, Penang Island 10200 Malaysia",3,4.5,1534
Kota Dine & Coffee,"Cafe,Asian,Fusion","Jalan Tun Syed Sheh Barakbah, George Town, Penang Island 10200 Malaysia",2,4.5,419
Andrew's Kampung,"Chinese,Asian,Nonya/Malaysian","Eden Parade 2nd Floor, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,1374
Pit Stop no.12,"Cafe,Vegetarian Friendly,Vegan Options","12 Lorong Chulia, George Town, Penang Island 10200 Malaysia",2,4.5,223
My Own Cafe,"Cafe,Asian,Malaysian","2 Lebuh Cannon Opposite Khoo Kongsi, George Town, Penang Island 10200 Malaysia",1,4.5,429
Kimpo Famous Roasted,"Chinese,Asian,Malaysian","No. 20 Leith Street, George Town, Penang Island 10000 Malaysia",1,4.5,233
Holy Guacamole - Love Lane,"Mexican,Latin,Bar","65 Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,754
Indigo Restaurant at The Blue Mansion,"French,European,Fusion","14 Lebuh Leith 14 Leith Street, George Town, Penang Island 10200 Malaysia",3,4.5,325
Lagenda Cafe,"Cafe,Asian,Malaysian","2 Carnavon Street, George Town, Penang Island 10100 Malaysia",2,4.5,356
